Date,Open,High,Low,Close,Adj Close,Volume
1/2/2002,36.490002,36.490002,35.68,36.349998,19.820818,7929300
1/3/2002,36.5,37.5,36.34,37.32,20.349741,10348200
1/4/2002,38.02,39.099998,38.02,39,21.265799,10432900
1/7/2002,39.049999,39.68,38.900002,38.900002,21.211271,9453000
1/8/2002,39,39.049999,38.279999,38.599998,21.047691,7604000
1/9/2002,38.849998,39.599998,38.389999,38.709999,21.107674,6189600
1/10/2002,38.400002,39.189999,38.360001,39.139999,21.342148,6870400
1/11/2002,39.25,39.290001,37.720001,38.34,20.905918,7788900
1/14/2002,37.650002,37.799999,37.049999,37.310001,20.344282,7333000
1/15/2002,37.310001,38.290001,37.310001,37.869999,20.649635,8475900
1/16/2002,37.5,37.509998,36.099998,36.509998,19.908072,15076200
1/17/2002,37,37.200001,36.5,36.849998,20.093454,11503100
1/18/2002,36.150002,36.5,35.5,35.91,19.580891,11283800
1/22/2002,36,36.18,35.619999,35.759998,19.4991,7824300
1/23/2002,35.349998,36.349998,34.990002,35.75,19.493654,8666100
1/24/2002,36.25,36.490002,35.900002,35.900002,19.575447,7715600
1/25/2002,35.450001,36.02,34.75,34.990002,19.079245,13942200
1/28/2002,35.150002,35.23,33.450001,34.310001,18.708452,13716200
1/29/2002,34.060001,34.650002,31.700001,32.049999,17.476126,17854300
1/30/2002,31.52,33.5,30.4,33.060001,18.026855,22844200
1/31/2002,33.110001,34.099998,33.02,34.049999,18.566683,12247600
2/1/2002,34.049999,34.049999,32.049999,32.16,17.536108,13705300
2/4/2002,32.169998,32.349998,30.549999,30.559999,16.66367,12660000
2/5/2002,30.57,30.57,28.299999,29.02,15.823939,28714800
2/6/2002,29.27,30.049999,28.9,29.440001,16.052961,19514500
2/7/2002,30,30.870001,29.549999,30.07,16.396481,17090600
2/8/2002,30.24,31.4,30.24,31.120001,16.969017,15573300
2/11/2002,31.219999,31.950001,30.74,31.84,17.361622,12952700
2/12/2002,31.6,31.690001,31.049999,31.49,17.170771,7807600
2/13/2002,31.5,32.189999,30,30.25,16.494631,20457300
2/14/2002,30,30.790001,29.4,30.209999,16.472816,17197200
2/15/2002,30.209999,30.4,29.299999,30.049999,16.385571,16647400
2/19/2002,29.299999,29.75,28.950001,29.030001,15.829395,13378500
2/20/2002,29.799999,29.9,28.389999,29.41,16.036596,14369600
2/21/2002,29.280001,30.15,28.9,29.139999,15.889365,9669400
2/22/2002,28.450001,28.450001,26.700001,28.190001,15.371364,25756700
2/25/2002,27.799999,29.049999,27.75,29,15.813025,11513000
2/26/2002,29,29.23,28.51,28.959999,15.791216,10028100
2/27/2002,29.190001,29.549999,28.5,28.959999,15.791216,10123500
2/28/2002,29.01,29.5,28.870001,29.25,15.949355,8056800
3/1/2002,29.6,29.75,29.049999,29.66,16.172915,9530300
3/4/2002,30.25,32.650002,30,32.5,17.721502,16655600
3/5/2002,32.52,33.880001,32.310001,32.509998,17.726954,16766900
3/6/2002,33.5,34.419998,33.169998,34.049999,18.566683,15044900
3/7/2002,34.450001,34.849998,33.700001,34.049999,18.566683,12092200
3/8/2002,34.75,34.98,34.169998,34.740002,18.942919,11721000
3/11/2002,35.5,36.490002,35.029999,36.299999,19.793554,16507800
3/12/2002,36,36.450001,35.360001,36.25,19.766287,13336300
3/13/2002,36,36.349998,34.939999,35.369999,19.286438,10128600
3/14/2002,35.009998,35.439999,34.700001,35.110001,19.14467,8074400
3/15/2002,35.119999,36.07,34.849998,36.009998,19.635426,11626800
3/18/2002,36.009998,36.400002,35.07,35.34,19.270094,8641100
3/19/2002,35.75,36.09,35.560001,36.09,19.679045,7615100
3/20/2002,35.700001,35.709999,35.150002,35.189999,19.188299,8460200
3/21/2002,35.189999,35.259998,34.200001,34.790001,18.970186,6479800
3/22/2002,34.799999,35.540001,34.5,35.200001,19.193748,7176700
3/25/2002,35.200001,36.119999,34.950001,34.950001,19.057436,8444900
3/26/2002,35.200001,36.080002,35.099998,35.150002,19.166485,9780000
3/27/2002,35.200001,35.990002,35.150002,35.5,19.357325,6541200
3/28/2002,35.849998,36.220001,35.259998,35.650002,19.439127,6425000
4/1/2002,35.650002,35.950001,35,35.610001,19.417311,4588500
4/2/2002,35.380001,35.700001,35.200001,35.310001,19.253733,5126800
4/3/2002,35.189999,35.360001,34.580002,35.009998,19.275755,5978700
4/4/2002,34.849998,35.200001,34.119999,34.439999,18.961922,6825900
4/5/2002,34.619999,35.27,34.619999,34.860001,19.193165,5999500
4/8/2002,34.540001,35.189999,34.25,34.98,19.259232,5735300
4/9/2002,35,35.450001,34.849998,35.189999,19.374855,5537600
4/10/2002,35.189999,35.389999,34.5,35.040001,19.292276,9663300
4/11/2002,34.799999,34.98,33.099998,33.459999,18.422358,12118300
4/12/2002,33.700001,34.360001,33.599998,34.279999,18.873833,6738500
4/15/2002,35.5,35.599998,34.25,34.400002,18.939898,11163000
4/16/2002,34.950001,35.5,34.330002,35.380001,19.479473,14282300
4/17/2002,35.950001,37.580002,35.759998,37.27,20.520052,19356200
4/18/2002,37.009998,37.669998,36.369999,37.259998,20.514557,10163900
4/19/2002,37.5,37.950001,37.299999,37.759998,20.789845,6647600
4/22/2002,37.27,37.389999,36.419998,36.599998,20.151171,8053500
4/23/2002,36.68,36.849998,36.200001,36.599998,20.151171,7383300
4/24/2002,36.700001,36.700001,35.869999,35.889999,19.76026,7354700
4/25/2002,35.400002,35.549999,34.389999,35.029999,19.286764,10939400
4/26/2002,35.75,35.849998,34.77,34.990002,19.264746,7525800
4/29/2002,35.400002,35.450001,34,34.34,18.906862,8569000
4/30/2002,34.700001,35.950001,34.349998,35.099998,19.325308,9882800
5/1/2002,35.439999,35.849998,34.400002,35.5,19.54553,6543700
5/2/2002,35.5,36.279999,35.490002,36.25,19.958475,7680200
5/3/2002,36.299999,36.41,35.02,35.68,19.644642,7122800
5/6/2002,35.950001,35.950001,34.240002,34.400002,18.939898,6321700
5/7/2002,34.939999,35.540001,34.630001,34.630001,19.066538,8673800
5/8/2002,36.5,37.150002,36,36.91,20.321852,10199300
5/9/2002,36.25,36.580002,35.5,35.77,19.694191,8214200
5/10/2002,35.939999,36,35,35.080002,19.314291,5472400
5/13/2002,35.349998,36.439999,35.099998,36.34,20.008026,5811000
5/14/2002,36.900002,37.73,36.73,37.59,20.696247,8431300
5/15/2002,37.240002,37.939999,36.900002,36.959999,20.349382,8716400
5/16/2002,37.049999,38,36.830002,37.830002,20.828386,5798700
5/17/2002,38,38.75,37.599998,38.099998,20.977037,7433100
5/20/2002,37.799999,37.93,37.279999,37.459999,20.624676,4149000
5/21/2002,37.919998,38.650002,37.299999,37.52,20.6577,6318700
5/22/2002,37.52,37.689999,36.84,37.560001,20.679733,5234100
5/23/2002,37.560001,38.66,37.540001,38.369999,21.125692,6222500
5/24/2002,38,38.709999,37.509998,37.799999,20.811863,4945900
5/28/2002,37.75,37.900002,36.950001,37.200001,20.48151,4890600
5/29/2002,37.099998,37.5,36.700001,36.970001,20.354895,5388600
5/30/2002,36.5,36.779999,35.049999,36.009998,19.826332,9332200
5/31/2002,36.009998,36.75,35.869999,35.950001,19.793295,7764000
6/3/2002,36,36.25,34.57,34.66,19.083055,7325800
6/4/2002,34.91,35.650002,34.080002,34.650002,19.077549,9405000
6/5/2002,34.650002,35.150002,34.220001,34.700001,19.105074,7263200
6/6/2002,34.869999,34.900002,33.400002,33.689999,18.548986,7494700
6/7/2002,32.75,33.990002,32.5,33.689999,18.548986,9275100
6/10/2002,33.650002,34.099998,33.18,33.880001,18.653595,5536800
6/11/2002,33.98,34.580002,32.790001,32.93,18.13056,6525300
6/12/2002,32.849998,33.310001,31.73,33.169998,18.262691,9581500
6/13/2002,33.119999,33.450001,32.5,32.66,17.981899,6041300
6/14/2002,32.349998,33.490002,31.25,33,18.169094,9795700
6/17/2002,33.599998,35.490002,33.57,35.48,19.534525,10245100
6/18/2002,35.48,35.689999,34.779999,35.02,19.281261,7572900
6/19/2002,34.700001,35.150002,34.25,34.610001,19.055513,6437800
6/20/2002,34.599998,34.599998,33.009998,33.380001,18.378311,8559200
6/21/2002,32.799999,33.650002,32.790001,32.990002,18.163586,12353700
6/24/2002,32.25,33.900002,31.65,33.18,18.268198,10176300
6/25/2002,33.299999,34.349998,32.700001,32.93,18.13056,6963000
6/26/2002,30.75,31.98,30.15,31.49,17.337721,19122800
6/27/2002,32.049999,33,31.4,32.720001,18.014923,9726800
6/28/2002,32.650002,33.919998,32.549999,33.919998,18.675623,7830000
7/1/2002,33.59,33.68,31.35,31.360001,17.266146,10082100
7/2/2002,31.02,31.540001,30,31.23,17.383034,12179600
7/3/2002,30.709999,31.15,30,30.950001,17.227175,8979400
7/5/2002,31.5,32.700001,31.15,32.59,18.14002,4612400
7/8/2002,32.59,32.950001,31.799999,32.279999,17.967472,7585700
7/9/2002,32.259998,32.75,31.25,31.27,17.405302,7100300
7/10/2002,31.6,31.75,30.059999,30.15,16.781881,8858000
7/11/2002,30,30.9,29.25,30.57,17.015675,11589300
7/12/2002,30.75,30.950001,29.68,30.209999,16.815279,7531200
7/15/2002,29.6,30.09,28.440001,30.08,16.742931,11558500
7/16/2002,28.9,29.49,28.43,28.5,15.863481,14886800
7/17/2002,29.01,29.85,27.530001,28.139999,15.663091,16035100
7/18/2002,27.6,28.200001,26.91,27.200001,15.139878,9790100
7/19/2002,26.549999,27.200001,25.85,26.1,14.527602,12270800
7/22/2002,25.959999,26.65,24.42,24.52,13.648158,16705900
7/23/2002,23.65,24.02,19.799999,20.08,11.176793,44908600
7/24/2002,19.01,23.700001,18.219999,23.299999,12.96909,46819400
7/25/2002,23.75,25.5,21,22.35,12.440305,33168200
7/26/2002,23.200001,23.299999,21.049999,22.25,12.384648,18050500
7/29/2002,23.75,25.219999,23.25,25.1,13.970989,18354600
7/30/2002,24.6,25.5,23.799999,24.889999,13.854094,16052300
7/31/2002,24.799999,25.1,24.110001,24.959999,13.893066,13790900
8/1/2002,24.959999,25.280001,24.25,25.02,13.926459,12536300
8/2/2002,24.530001,24.9,23.280001,23.85,13.27523,13448400
8/5/2002,22.879999,23.4,22.1,22.35,12.440305,14479200
8/6/2002,23.5,24.629999,23.25,23.65,13.1639,14504500
8/7/2002,24.42,24.549999,23.18,24.040001,13.380984,10715900
8/8/2002,25.299999,26.4,24.82,26.379999,14.683458,16995400
8/9/2002,25.6,26.799999,25.27,26.35,14.666758,12011100
8/12/2002,25.799999,25.809999,25.01,25.459999,14.171374,9748200
8/13/2002,24.950001,25.780001,24.299999,24.4,13.581365,11024300
8/14/2002,24.4,25.139999,23.370001,25.139999,13.993264,15345800
8/15/2002,25.120001,25.58,24.110001,24.790001,13.798442,13570400
8/16/2002,24.790001,25.059999,24.190001,24.860001,13.837413,9678900
8/19/2002,24.98,27.35,24.84,27.209999,15.145441,13035800
8/20/2002,27.01,27.110001,26.299999,26.540001,14.772512,9419200
8/21/2002,26.5,27.01,25.98,26.879999,14.961764,9146800
8/22/2002,26.4,26.950001,25.66,26.690001,14.856012,11966500
